commodity,office_code,wbs_element,period,key,Implementation Reqs,Implementation Shortfalls,Implementation Reqs FCR,Implementation Shortfalls FCR
Vegetable Oil,SOCO,SO01.01.011.URT1,2020-09-01,Vegetable OilSOCOSO01.01.011.URT144075,260.32845,96.13485,611156.1025,225689.5097
Micronutrition Powder,SOCO,SO01.01.021.ACL1,2020-09-01,Micronutrition PowderSOCOSO01.01.021.ACL144075,0.13002808,0.13002808,2909.905935,2909.905935
Sorghum/Millet,SOCO,SO01.01.021.ACL1,2020-09-01,Sorghum/MilletSOCOSO01.01.021.ACL144075,1652.70146,1652.70146,2057659.204,2057659.204
Split Peas,SOCO,SO01.01.021.ACL1,2020-09-01,Split PeasSOCOSO01.01.021.ACL144075,188.02506,82.24266,263027.1994,115048.7947
Super Cereal (CSB+),SOCO,SO01.01.021.ACL1,2020-09-01,Super Cereal (CSB+)SOCOSO01.01.021.ACL144075,0,0,0,0
Vegetable Oil,SOCO,SO01.01.021.ACL1,2020-09-01,Vegetable OilSOCOSO01.01.021.ACL144075,135.56995,88.50075,288731.5641,188485.4275
LNS-LQ,SOCO,SO01.02.031.NTA1,2020-09-01,LNS-LQSOCOSO01.02.031.NTA144075,144.171,27,617898.5965,115718.571
LNS-MQ,SOCO,SO01.02.031.NTA1,2020-09-01,LNS-MQSOCOSO01.02.031.NTA144075,222.183,222.183,938264.2638,938264.2638
Sorghum/Millet,SOCO,SO01.02.031.NTA1,2020-09-01,Sorghum/MilletSOCOSO01.02.031.NTA144075,0,0,0,0
Split Peas,SOCO,SO01.02.031.NTA1,2020-09-01,Split PeasSOCOSO01.02.031.NTA144075,0,0,0,0
Super Cereal (CSB+),SOCO,SO01.02.031.NTA1,2020-09-01,Super Cereal (CSB+)SOCOSO01.02.031.NTA144075,611.985,611.985,1143821.936,1143821.936
Super Cereal Plus (CSB++),SOCO,SO01.02.031.NTA1,2020-09-01,Super Cereal Plus (CSB++)SOCOSO01.02.031.NTA144075,0,0,0,0
Vegetable Oil,SOCO,SO01.02.031.NTA1,2020-09-01,Vegetable OilSOCOSO01.02.031.NTA144075,65.7135,17.808,159216.8714,43146.90354
Iodized Salt,SSCO,SS01.01.011.URT1,2020-09-01,Iodized SaltSSCOSS01.01.011.URT144075,16.9146005,0,23699.77192,0
Sorghum/Millet,SSCO,SS01.01.011.URT1,2020-09-01,Sorghum/MilletSSCOSS01.01.011.URT144075,1753.16969,1753.16969,2735621.78,2735621.78
Split Peas,SSCO,SS01.01.011.URT1,2020-09-01,Split PeasSSCOSS01.01.011.URT144075,193.056335,193.056335,365463.1964,365463.1964
Vegetable Oil,SSCO,SS01.01.011.URT1,2020-09-01,Vegetable OilSSCOSS01.01.011.URT144075,107.983785,0,246963.301,0
Iodized Salt,SSCO,SS01.01.011.URT2,2020-09-01,Iodized SaltSSCOSS01.01.011.URT244075,0.094176,0,107.8250523,0
LNS-LQ,SSCO,SS01.01.011.URT2,2020-09-01,LNS-LQSSCOSS01.01.011.URT244075,0.288,0,1164.017838,0
LNS-MQ,SSCO,SS01.01.011.URT2,2020-09-01,LNS-MQSSCOSS01.01.011.URT244075,0.66,0.66,2845.222723,2845.222723
Sorghum/Millet,SSCO,SS01.01.011.URT2,2020-09-01,Sorghum/MilletSSCOSS01.01.011.URT244075,27.73128,27.73128,36643.84902,36643.84902
Split Peas,SSCO,SS01.01.011.URT2,2020-09-01,Split PeasSSCOSS01.01.011.URT244075,2.54907,0,4329.423234,0
Super Cereal (CSB+),SSCO,SS01.01.011.URT2,2020-09-01,Super Cereal (CSB+)SSCOSS01.01.011.URT244075,1.08,1.08,1748.147715,1748.147715
Super Cereal Plus (CSB++),SSCO,SS01.01.011.URT2,2020-09-01,Super Cereal Plus (CSB++)SSCOSS01.01.011.URT244075,1.2015,0,2634.672343,0
Vegetable Oil,SSCO,SS01.01.011.URT2,2020-09-01,Vegetable OilSSCOSS01.01.011.URT244075,1.00404,0,2115.458106,0
LNS-LQ,SSCO,SS01.02.021.NTA1,2020-09-01,LNS-LQSSCOSS01.02.021.NTA144075,32.814,0,159590.3919,0
LNS-MQ,SSCO,SS01.02.021.NTA1,2020-09-01,LNS-MQSSCOSS01.02.021.NTA144075,9.12,9.12,46796.86447,46796.86447
Super Cereal (CSB+),SSCO,SS01.02.021.NTA1,2020-09-01,Super Cereal (CSB+)SSCOSS01.02.021.NTA144075,29.16,29.16,71546.79911,71546.79911
Super Cereal Plus (CSB++),SSCO,SS01.02.021.NTA1,2020-09-01,Super Cereal Plus (CSB++)SSCOSS01.02.021.NTA144075,30.852,30.852,95173.7325,95173.7325
Iodized Salt,SSCO,SS01.03.033.ACL1,2020-09-01,Iodized SaltSSCOSS01.03.033.ACL144075,0,0,0,0
Sorghum/Millet,SSCO,SS01.03.033.ACL1,2020-09-01,Sorghum/MilletSSCOSS01.03.033.ACL144075,0,0,0,0
Split Peas,SSCO,SS01.03.033.ACL1,2020-09-01,Split PeasSSCOSS01.03.033.ACL144075,0,0,0,0
Vegetable Oil,SSCO,SS01.03.033.ACL1,2020-09-01,Vegetable OilSSCOSS01.03.033.ACL144075,0,0,0,0
Beans,SVCO,SV01.01.041.URT1,2020-09-01,BeansSVCOSV01.01.041.URT144075,24.8454,24.8454,56170.70577,56170.70577
Iodized Salt,SVCO,SV01.01.041.URT1,2020-09-01,Iodized SaltSVCOSV01.01.041.URT144075,2.07045,2.07045,1281.098406,1281.098406
Maize,SVCO,SV01.01.041.URT1,2020-09-01,MaizeSVCOSV01.01.041.URT144075,82.818,82.818,68912.15569,68912.15569
Rice,SVCO,SV01.01.041.URT1,2020-09-01,RiceSVCOSV01.01.041.URT144075,82.818,82.818,113885.8052,113885.8052
Super Cereal (CSB+),SVCO,SV01.01.041.URT1,2020-09-01,Super Cereal (CSB+)SVCOSV01.01.041.URT144075,24.8454,24.8454,27098.45378,27098.45378
Vegetable Oil,SVCO,SV01.01.041.URT1,2020-09-01,Vegetable OilSVCOSV01.01.041.URT144075,10.35225,10.35225,28825.3917,28825.3917
High Energy Biscuits,SYCO,SY02.01.011.SMP1,2020-09-01,High Energy BiscuitsSYCOSY02.01.011.SMP144075,1760,1760,3775045.411,3775045.411
Wheat Flour,SYCO,SY02.01.011.SMP1,2020-09-01,Wheat FlourSYCOSY02.01.011.SMP144075,41.4975,0,22765.91077,0
Yeast,SYCO,SY02.01.011.SMP1,2020-09-01,YeastSYCOSY02.01.011.SMP144075,0.2475,0,729.4259288,0
Bulgur Wheat,SYCO,SY02.01.011.URT1,2020-09-01,Bulgur WheatSYCOSY02.01.011.URT144075,3499.9965,3499.9965,2874401.779,2874401.779
Chickpeas,SYCO,SY02.01.011.URT1,2020-09-01,ChickpeasSYCOSY02.01.011.URT144075,3500,3500,4489906.785,4489906.785
Iodized Salt,SYCO,SY02.01.011.URT1,2020-09-01,Iodized SaltSYCOSY02.01.011.URT144075,699.93,699.93,309762.5691,309762.5691
Lentils,SYCO,SY02.01.011.URT1,2020-09-01,LentilsSYCOSY02.01.011.URT144075,3500,3500,2378876.568,2378876.568
Pasta,SYCO,SY02.01.011.URT1,2020-09-01,PastaSYCOSY02.01.011.URT144075,2100,2100,1702887.9,1702887.9
Pre-Packaged Food Parcels,SYCO,SY02.01.011.URT1,2020-09-01,Pre-Packaged Food ParcelsSYCOSY02.01.011.URT144075,17774.4,17774.4,17087269.37,17087269.37
Rations,SYCO,SY02.01.011.URT1,2020-09-01,RationsSYCOSY02.01.011.URT144075,1146,1146,2714480.364,2714480.364
Rice,SYCO,SY02.01.011.URT1,2020-09-01,RiceSYCOSY02.01.011.URT144075,4900,4900,3426309.865,3426309.865
Split Lentils,SYCO,SY02.01.011.URT1,2020-09-01,Split LentilsSYCOSY02.01.011.URT144075,3500,3500,2777716.246,2777716.246
Sugar,SYCO,SY02.01.011.URT1,2020-09-01,SugarSYCOSY02.01.011.URT144075,3499.965,3499.965,2233821.619,2233821.619
Vegetable Oil - Sunflower,SYCO,SY02.01.011.URT1,2020-09-01,Vegetable Oil - SunflowerSYCOSY02.01.011.URT144075,3822,3822,6354754.638,6354754.638
Wheat Flour,SYCO,SY02.01.011.URT1,2020-09-01,Wheat FlourSYCOSY02.01.011.URT144075,7800,7800,5068062.912,5068062.912
Yeast,SYCO,SY02.01.011.URT1,2020-09-01,YeastSYCOSY02.01.011.URT144075,106,106,325097.9537,325097.9537
Bulgur Wheat,SYCO,SY02.01.021.ACL1,2020-09-01,Bulgur WheatSYCOSY02.01.021.ACL144075,67.96538658,67.96538658,54124.89277,54124.89277
Chickpeas,SYCO,SY02.01.021.ACL1,2020-09-01,ChickpeasSYCOSY02.01.021.ACL144075,67.96477489,67.96477489,85158.32807,85158.32807
Iodized Salt,SYCO,SY02.01.021.ACL1,2020-09-01,Iodized SaltSYCOSY02.01.021.ACL144075,13.59309091,13.59309091,5732.589089,5732.589089
Lentils,SYCO,SY02.01.021.ACL1,2020-09-01,LentilsSYCOSY02.01.021.ACL144075,67.96477489,0,44605.27233,0
Pre-Packaged Food Parcels,SYCO,SY02.01.021.ACL1,2020-09-01,Pre-Packaged Food ParcelsSYCOSY02.01.021.ACL144075,0,0,0,0
Rice,SYCO,SY02.01.021.ACL1,2020-09-01,RiceSYCOSY02.01.021.ACL144075,135.9309091,135.9309091,91842.76823,91842.76823
Split Lentils,SYCO,SY02.01.021.ACL1,2020-09-01,Split LentilsSYCOSY02.01.021.ACL144075,67.96477489,67.96477489,52267.01378,52267.01378
Sugar,SYCO,SY02.01.021.ACL1,2020-09-01,SugarSYCOSY02.01.021.ACL144075,67.96545455,67.96545455,41819.60273,41819.60273
Vegetable Oil - Sunflower,SYCO,SY02.01.021.ACL1,2020-09-01,Vegetable Oil - SunflowerSYCOSY02.01.021.ACL144075,74.21827636,74.21827636,120882.842,120882.842
Wheat Flour,SYCO,SY02.01.021.ACL1,2020-09-01,Wheat FlourSYCOSY02.01.021.ACL144075,203.8963636,203.8963636,127780.5712,127780.5712
LNS-MQ,SYCO,SY02.02.031.NPA1,2020-09-01,LNS-MQSYCOSY02.02.031.NPA144075,301.5,301.5,953174.2228,953174.2228
LNS-LQ,SYCO,SY02.02.031.NTA1,2020-09-01,LNS-LQSYCOSY02.02.031.NTA144075,38.751,38.751,186244.4859,186244.4859
Beans,TDCO,TD01.01.011.URT1,2020-09-01,BeansTDCOTD01.01.011.URT144075,0,0,0,0
High Energy Biscuits,TDCO,TD01.01.011.URT1,2020-09-01,High Energy BiscuitsTDCOTD01.01.011.URT144075,0,0,0,0
Iodized Salt,TDCO,TD01.01.011.URT1,2020-09-01,Iodized SaltTDCOTD01.01.011.URT144075,25.5948,25.5948,22581.93443,22581.93443
LNS-LQ,TDCO,TD01.01.011.URT1,2020-09-01,LNS-LQTDCOTD01.01.011.URT144075,25.44,0,90095.93707,0
Rice,TDCO,TD01.01.011.URT1,2020-09-01,RiceTDCOTD01.01.011.URT144075,0,0,0,0
Sorghum/Millet,TDCO,TD01.01.011.URT1,2020-09-01,Sorghum/MilletTDCOTD01.01.011.URT144075,1671.6945,1671.6945,1873052.779,1873052.779
Split Peas,TDCO,TD01.01.011.URT1,2020-09-01,Split PeasTDCOTD01.01.011.URT144075,320.409,0,395653.0895,0
Super Cereal (CSB+),TDCO,TD01.01.011.URT1,2020-09-01,Super Cereal (CSB+)TDCOTD01.01.011.URT144075,0,0,0,0
Super Cereal (CSB+) With Sugar,TDCO,TD01.01.011.URT1,2020-09-01,Super Cereal (CSB+) With SugarTDCOTD01.01.011.URT144075,384.5811193,384.5811193,564565.1817,564565.1817
Super Cereal Plus (CSB++),TDCO,TD01.01.011.URT1,2020-09-01,Super Cereal Plus (CSB++)TDCOTD01.01.011.URT144075,390.6,390.6,708431.317,708431.317
Vegetable Oil,TDCO,TD01.01.011.URT1,2020-09-01,Vegetable OilTDCOTD01.01.011.URT144075,154.2807399,0,227232.8501,0
Beans,TDCO,TD01.01.021.SMP1,2020-09-01,BeansTDCOTD01.01.021.SMP144075,0,0,0,0
Rice,TDCO,TD01.01.021.SMP1,2020-09-01,RiceTDCOTD01.01.021.SMP144075,0,0,0,0
Rice,TDCO,TD01.01.021.URT1,2020-09-01,RiceTDCOTD01.01.021.URT144075,0,0,0,0
Iodized Salt,TDCO,TD01.02.031.NPA1,2020-09-01,Iodized SaltTDCOTD01.02.031.NPA144075,14.28,14.28,18636.53215,18636.53215
LNS-MQ,TDCO,TD01.02.031.NPA1,2020-09-01,LNS-MQTDCOTD01.02.031.NPA144075,225,225,942035.5771,942035.5771
Sorghum/Millet,TDCO,TD01.02.031.NPA1,2020-09-01,Sorghum/MilletTDCOTD01.02.031.NPA144075,1285.2,1285.2,2052133.587,2052133.587
Split Peas,TDCO,TD01.02.031.NPA1,2020-09-01,Split PeasTDCOTD01.02.031.NPA144075,214.2,214.2,370153.8947,370153.8947
Sugar,TDCO,TD01.02.031.NPA1,2020-09-01,SugarTDCOTD01.02.031.NPA144075,0,0,0,0
Super Cereal (CSB+) With Sugar,TDCO,TD01.02.031.NPA1,2020-09-01,Super Cereal (CSB+) With SugarTDCOTD01.02.031.NPA144075,214.08,214.08,374597.3945,374597.3945
Super Cereal Plus (CSB++),TDCO,TD01.02.031.NPA1,2020-09-01,Super Cereal Plus (CSB++)TDCOTD01.02.031.NPA144075,213.384,213.384,474363.0387,474363.0387
Vegetable Oil,TDCO,TD01.02.031.NPA1,2020-09-01,Vegetable OilTDCOTD01.02.031.NPA144075,103.512,103.512,204671.5425,204671.5425
LNS-LQ,TDCO,TD01.02.031.NTA1,2020-09-01,LNS-LQTDCOTD01.02.031.NTA144075,108.609,0,452645.0443,0
Super Cereal (CSB+) With Sugar,TDCO,TD01.02.031.NTA1,2020-09-01,Super Cereal (CSB+) With SugarTDCOTD01.02.031.NTA144075,150,150,333264.2714,333264.2714
Super Cereal Plus (CSB++),TDCO,TD01.02.031.NTA1,2020-09-01,Super Cereal Plus (CSB++)TDCOTD01.02.031.NTA144075,0,0,0,0
Vegetable Oil,TDCO,TD01.02.031.NTA1,2020-09-01,Vegetable OilTDCOTD01.02.031.NTA144075,0,0,0,0
Micronutrition Powder,TDCO,TD01.02.031.SMS1,2020-09-01,Micronutrition PowderTDCOTD01.02.031.SMS144075,0.6,0,9513.961887,0
Iodized Salt,TJCO,TJ02.01.011.SMP1,2020-09-01,Iodized SaltTJCOTJ02.01.011.SMP144075,14.0790474,14.0790474,3277.208003,3277.208003
Split Peas,TJCO,TJ02.01.011.SMP1,2020-09-01,Split PeasTJCOTJ02.01.011.SMP144075,46.930158,46.930158,42617.56219,42617.56219
Vegetable Oil,TJCO,TJ02.01.011.SMP1,2020-09-01,Vegetable OilTJCOTJ02.01.011.SMP144075,32.8511106,7.5771866,45986.35602,10606.86212
Wheat Flour,TJCO,TJ02.01.011.SMP1,2020-09-01,Wheat FlourTJCOTJ02.01.011.SMP144075,469.30158,469.30158,361625.6512,361625.6512
Super Cereal Plus (WSB++),TJCO,TJ02.02.021.NTA1,2020-09-01,Super Cereal Plus (WSB++)TJCOTJ02.02.021.NTA144075,8.25,8.25,19773.99751,19773.99751
Iodized Salt,TJCO,TJ02.04.031.ACL1,2020-09-01,Iodized SaltTJCOTJ02.04.031.ACL144075,0.384375,0.384375,180.7122821,180.7122821
Split Peas,TJCO,TJ02.04.031.ACL1,2020-09-01,Split PeasTJCOTJ02.04.031.ACL144075,3.075,2.3,3784.721915,2830.848912
Vegetable Oil,TJCO,TJ02.04.031.ACL1,2020-09-01,Vegetable OilTJCOTJ02.04.031.ACL144075,1.153125,0.867125,2057.944241,1547.529453
Wheat Flour,TJCO,TJ02.04.031.ACL1,2020-09-01,Wheat FlourTJCOTJ02.04.031.ACL144075,30.75,0,33083.34834,0
High Energy Biscuits,TZCO,TZ01.01.011.URT1,2020-09-01,High Energy BiscuitsTZCOTZ01.01.011.URT144075,0.6,0,1165.431322,0
Iodized Salt,TZCO,TZ01.01.011.URT1,2020-09-01,Iodized SaltTZCOTZ01.01.011.URT144075,23.72745848,0,15626.55037,0
Maize,TZCO,TZ01.01.011.URT1,2020-09-01,MaizeTZCOTZ01.01.011.URT144075,1872.861084,1872.861084,1646311.701,1646311.701
Micronutrition Powder,TZCO,TZ01.01.011.URT1,2020-09-01,Micronutrition PowderTZCOTZ01.01.011.URT144075,0.316694925,0.170420647,7075.138232,3807.29068
Peas,TZCO,TZ01.01.011.URT1,2020-09-01,PeasTZCOTZ01.01.011.URT144075,566.925444,566.925444,669480.7581,669480.7581
Super Cereal (CSB+),TZCO,TZ01.01.011.URT1,2020-09-01,Super Cereal (CSB+)TZCOTZ01.01.011.URT144075,1.2667797,1.2667797,1244.962108,1244.962108
Super Cereal (CSB+) With Sugar,TZCO,TZ01.01.011.URT1,2020-09-01,Super Cereal (CSB+) With SugarTZCOTZ01.01.011.URT144075,341.78391,341.78391,403709.223,403709.223
Super Cereal Plus (CSB++),TZCO,TZ01.01.011.URT1,2020-09-01,Super Cereal Plus (CSB++)TZCOTZ01.01.011.URT144075,47.12420484,0,82531.99361,0
Vegetable Oil - Palmolien,TZCO,TZ01.01.011.URT1,2020-09-01,Vegetable Oil - PalmolienTZCOTZ01.01.011.URT144075,94.9098339,94.9098339,164043.9408,164043.9408
Micronutrition Powder,TZCO,TZ01.02.021.NPA1,2020-09-01,Micronutrition PowderTZCOTZ01.02.021.NPA144075,0.2925,0.2925,113.9617536,113.9617536
Super Cereal (CSB+),TZCO,TZ01.02.021.NPA1,2020-09-01,Super Cereal (CSB+)TZCOTZ01.02.021.NPA144075,2.4564,2.4564,2530.119997,2530.119997
Super Cereal Plus (CSB++),TZCO,TZ01.02.021.NPA1,2020-09-01,Super Cereal Plus (CSB++)TZCOTZ01.02.021.NPA144075,2.31,2.31,4045.984567,4045.984567
Vegetable Oil - Palmolien,TZCO,TZ01.02.021.NPA1,2020-09-01,Vegetable Oil - PalmolienTZCOTZ01.02.021.NPA144075,0.2136,0.2136,333.5320464,333.5320464
Beans,UGCO,UG01.01.011.URT1,2020-09-01,BeansUGCOUG01.01.011.URT144075,2047.129816,2047.129816,2340433.45,2340433.45
High Energy Biscuits,UGCO,UG01.01.011.URT1,2020-09-01,High Energy BiscuitsUGCOUG01.01.011.URT144075,6.2,6.2,10955.03525,10955.03525
Iodized Salt,UGCO,UG01.01.011.URT1,2020-09-01,Iodized SaltUGCOUG01.01.011.URT144075,102.5889908,102.5889908,49106.71675,49106.71675
LNS-LQ,UGCO,UG01.01.011.URT1,2020-09-01,LNS-LQUGCOUG01.01.011.URT144075,0.728,0,2262.757562,0
Maize,UGCO,UG01.01.011.URT1,2020-09-01,MaizeUGCOUG01.01.011.URT144075,8552.375225,8552.375225,6359132.51,6359132.51
Maize Meal,UGCO,UG01.01.011.URT1,2020-09-01,Maize MealUGCOUG01.01.011.URT144075,60.45,0,55137.04371,0
Sugar,UGCO,UG01.01.011.URT1,2020-09-01,SugarUGCOUG01.01.011.URT144075,0.775,0,612.6430387,0
Super Cereal (CSB+),UGCO,UG01.01.011.URT1,2020-09-01,Super Cereal (CSB+)UGCOUG01.01.011.URT144075,0,0,0,0
Super Cereal Plus (CSB++),UGCO,UG01.01.011.URT1,2020-09-01,Super Cereal Plus (CSB++)UGCOUG01.01.011.URT144075,750.8715,750.8715,1372851.809,1372851.809
Vegetable Oil,UGCO,UG01.01.011.URT1,2020-09-01,Vegetable OilUGCOUG01.01.011.URT144075,615.5339447,615.5339447,690385.1889,690385.1889
Beans,UGCO,UG01.01.011.URT2,2020-09-01,BeansUGCOUG01.01.011.URT244075,0,0,0,0
Super Cereal Plus (CSB++),UGCO,UG01.01.011.URT2,2020-09-01,Super Cereal Plus (CSB++)UGCOUG01.01.011.URT244075,0,0,0,0
Beans,UGCO,UG01.01.023.SMP1,2020-09-01,BeansUGCOUG01.01.023.SMP144075,42.37392,42.37392,54213.69167,54213.69167
Maize,UGCO,UG01.01.023.SMP1,2020-09-01,MaizeUGCOUG01.01.023.SMP144075,211.8696,211.8696,165117.0769,165117.0769
Vegetable Oil,UGCO,UG01.01.023.SMP1,2020-09-01,Vegetable OilUGCOUG01.01.023.SMP144075,14.12464,14.12464,17688.27376,17688.27376
LNS-LQ,UGCO,UG01.02.031.NTA1,2020-09-01,LNS-LQUGCOUG01.02.031.NTA144075,54.39,54.39,190626.7183,190626.7183
Sugar,UGCO,UG01.02.031.NTA1,2020-09-01,SugarUGCOUG01.02.031.NTA144075,0,0,0,0
Super Cereal (CSB+),UGCO,UG01.02.031.NTA1,2020-09-01,Super Cereal (CSB+)UGCOUG01.02.031.NTA144075,0,0,0,0
Super Cereal Plus (CSB++),UGCO,UG01.02.031.NTA1,2020-09-01,Super Cereal Plus (CSB++)UGCOUG01.02.031.NTA144075,277.71,241.44,559074.9038,494003.4807
Vegetable Oil,UGCO,UG01.02.031.NTA1,2020-09-01,Vegetable OilUGCOUG01.02.031.NTA144075,0,0,0,0
Beans,YECO,YE01.01.011.URT1,2020-09-01,BeansYECOYE01.01.011.URT144075,5417.881667,5384.965,7021017.783,6978361.166
Iodized Salt,YECO,YE01.01.011.URT1,2020-09-01,Iodized SaltYECOYE01.01.011.URT144075,540.1466545,467.8311094,252632.4404,218809.6767
Rations,YECO,YE01.01.011.URT1,2020-09-01,RationsYECOYE01.01.011.URT144075,270.8293125,270.8293125,775221.3151,775221.3151
Sugar,YECO,YE01.01.011.URT1,2020-09-01,SugarYECOYE01.01.011.URT144075,2700.694382,2275.801562,2277022.924,1918785.169
Vegetable Oil,YECO,YE01.01.011.URT1,2020-09-01,Vegetable OilYECOYE01.01.011.URT144075,7958.089843,6085.47491,11657277.32,8914208.063
Wheat Flour,YECO,YE01.01.011.URT1,2020-09-01,Wheat FlourYECOYE01.01.011.URT144075,81021.35,80774.475,52181129.9,52022132.1
High Energy Biscuits,YECO,YE01.01.031.SMP1,2020-09-01,High Energy BiscuitsYECOYE01.01.031.SMP144075,1438.2984,0,3752949.093,0
LNS-LQ,YECO,YE01.02.021.NTA1,2020-09-01,LNS-LQYECOYE01.02.021.NTA144075,701.922,701.922,2863985.976,2863985.976
LNS-MQ,YECO,YE01.02.021.NTA1,2020-09-01,LNS-MQYECOYE01.02.021.NTA144075,777.5602965,777.5602965,3172605.766,3172605.766
Super Cereal (WSB+),YECO,YE01.02.021.NTA1,2020-09-01,Super Cereal (WSB+)YECOYE01.02.021.NTA144075,1513.664108,1513.664108,3007409.167,3007409.167
Super Cereal Plus (WSB++),YECO,YE01.02.021.NTA1,2020-09-01,Super Cereal Plus (WSB++)YECOYE01.02.021.NTA144075,1400,1400,2781576.713,2781576.713
Beans,ZMCO,ZM02.01.013.URT1,2020-09-01,BeansZMCOZM02.01.013.URT144075,9.9,9.9,20734.80613,20734.80613
Iodized Salt,ZMCO,ZM02.01.013.URT1,2020-09-01,Iodized SaltZMCOZM02.01.013.URT144075,0.825,0.825,966.2520319,966.2520319
Maize Meal,ZMCO,ZM02.01.013.URT1,2020-09-01,Maize MealZMCOZM02.01.013.URT144075,66,66,94325.2462,94325.2462
Super Cereal (CSB+) With Sugar,ZMCO,ZM02.01.013.URT1,2020-09-01,Super Cereal (CSB+) With SugarZMCOZM02.01.013.URT144075,28.428,28.428,50277.36111,50277.36111
Vegetable Oil - Palmolien,ZMCO,ZM02.01.013.URT1,2020-09-01,Vegetable Oil - PalmolienZMCOZM02.01.013.URT144075,4.125,4.125,9311.54533,9311.54533
Super Cereal (CSB+) With Sugar,ZWCO,ZW01.01.011.URT1,2020-09-01,Super Cereal (CSB+) With SugarZWCOZW01.01.011.URT144075,0,0,0,0
Maize Meal,ZWCO,ZW01.01.011.URT2,2020-09-01,Maize MealZWCOZW01.01.011.URT244075,135,0,132497.15,0
Peas,ZWCO,ZW01.01.011.URT2,2020-09-01,PeasZWCOZW01.01.011.URT244075,20,20,27100.88723,27100.88723
Super Cereal (CSB+) With Sugar,ZWCO,ZW01.01.011.URT2,2020-09-01,Super Cereal (CSB+) With SugarZWCOZW01.01.011.URT244075,29.436,29.436,32712.92538,32712.92538
Vegetable Oil,ZWCO,ZW01.01.011.URT2,2020-09-01,Vegetable OilZWCOZW01.01.011.URT244075,7.5,7.5,9960.848067,9960.848067
Beans,ZWCO,ZW01.02.021.NPA1,2020-09-01,BeansZWCOZW01.02.021.NPA144075,3.93,3.93,10661.68189,10661.68189
Maize,ZWCO,ZW01.02.021.NPA1,2020-09-01,MaizeZWCOZW01.02.021.NPA144075,24.5625,24.5625,52993.9128,52993.9128
Micronutrition Powder,ZWCO,ZW01.02.021.NPA1,2020-09-01,Micronutrition PowderZWCOZW01.02.021.NPA144075,0.09,0.09,150.4910115,150.4910115
Super Cereal (CSB+) With Sugar,ZWCO,ZW01.02.021.NPA1,2020-09-01,Super Cereal (CSB+) With SugarZWCOZW01.02.021.NPA144075,9.825,9.825,23093.65856,23093.65856
Super Cereal Plus (CSB++),ZWCO,ZW01.02.021.NPA1,2020-09-01,Super Cereal Plus (CSB++)ZWCOZW01.02.021.NPA144075,22.5,0,65185.61851,0
Vegetable Oil,ZWCO,ZW01.02.021.NPA1,2020-09-01,Vegetable OilZWCOZW01.02.021.NPA144075,1.228125,1.228125,3147.327192,3147.327192
Beans,ZWCO,ZW01.04.041.ACL1,2020-09-01,BeansZWCOZW01.04.041.ACL144075,0,0,0,0
Maize,ZWCO,ZW01.04.041.ACL1,2020-09-01,MaizeZWCOZW01.04.041.ACL144075,600,600,673051.5982,673051.5982
Peas,ZWCO,ZW01.04.041.ACL1,2020-09-01,PeasZWCOZW01.04.041.ACL144075,0,0,0,0
Sorghum/Millet,ZWCO,ZW01.04.041.ACL1,2020-09-01,Sorghum/MilletZWCOZW01.04.041.ACL144075,0,0,0,0
Split Peas,ZWCO,ZW01.04.041.ACL1,2020-09-01,Split PeasZWCOZW01.04.041.ACL144075,0,0,0,0
Vegetable Oil,ZWCO,ZW01.04.041.ACL1,2020-09-01,Vegetable OilZWCOZW01.04.041.ACL144075,0,0,0,0
High Energy Biscuits,AFCO,AF01.01.011.URT1,2020-10-01,High Energy BiscuitsAFCOAF01.01.011.URT144105,11.6235,11.6235,31775.83645,31775.83645
Iodized Salt,AFCO,AF01.01.011.URT1,2020-10-01,Iodized SaltAFCOAF01.01.011.URT144105,17.29875,17.29875,11498.00326,11498.00326
LNS-MQ,AFCO,AF01.01.011.URT1,2020-10-01,LNS-MQAFCOAF01.01.011.URT144105,0,0,0,0
Split Peas,AFCO,AF01.01.011.URT1,2020-10-01,Split PeasAFCOAF01.01.011.URT144105,165.585,165.585,169926.3016,169926.3016
Vegetable Oil - Palmolien,AFCO,AF01.01.011.URT1,2020-10-01,Vegetable Oil - PalmolienAFCOAF01.01.011.URT144105,103.2682875,102.9451375,159356.0157,158857.3544
Wheat Flour,AFCO,AF01.01.011.URT1,2020-10-01,Wheat FlourAFCOAF01.01.011.URT144105,1055.4705,1055.4705,1046362.009,1046362.009
Iodized Salt,AFCO,AF01.01.021.ACL1,2020-10-01,Iodized SaltAFCOAF01.01.021.ACL144105,29.52054,27.50154,23418.38255,21816.72775
LNS-MQ,AFCO,AF01.01.021.ACL1,2020-10-01,LNS-MQAFCOAF01.01.021.ACL144105,0,0,0,0
Split Peas,AFCO,AF01.01.021.ACL1,2020-10-01,Split PeasAFCOAF01.01.021.ACL144105,289.2162,289.2162,327459.1159,327459.1159
Vegetable Oil - Palmolien,AFCO,AF01.01.021.ACL1,2020-10-01,Vegetable Oil - PalmolienAFCOAF01.01.021.ACL144105,180.8563554,180.1483554,292411.4681,291266.7623
Wheat Flour,AFCO,AF01.01.021.ACL1,2020-10-01,Wheat FlourAFCOAF01.01.021.ACL144105,1848.47607,1848.40607,2032511.732,2032434.763
